iter	Passed	Remaining
0	149	149321
1	151	75561
2	153	51042
3	154	38581
4	156	31106
5	157	26111
6	158	22509
7	159	19817
8	160	17718
9	161	16020
10	162	14631
11	163	13473
12	164	12494
13	165	11651
14	166	10920
15	167	10275
16	167	9706
17	168	9200
18	169	8750
19	170	8341
20	170	7969
21	171	7632
22	172	7326
23	173	7044
24	173	6782
25	174	6542
26	175	6317
27	175	6109
28	176	5914
29	177	5731
30	177	5561
31	178	5400
32	179	5251
33	179	5111
34	180	4978
35	181	4852
36	181	4732
37	182	4619
38	183	4510
39	183	4408
40	184	4310
41	184	4217
42	185	4128
43	186	4043
44	186	3963
45	187	3886
46	187	3811
47	188	3740
48	189	3671
49	189	3606
50	190	3542
51	190	3482
52	191	3424
53	192	3368
54	192	3314
55	193	3263
56	194	3212
57	194	3163
58	195	3116
59	196	3070
60	196	3026
61	197	2983
62	197	2941
63	198	2902
64	199	2863
65	199	2826
66	200	2790
67	201	2755
68	201	2721
69	202	2687
70	202	2654
71	203	2622
72	204	2591
73	204	2561
74	205	2531
75	205	2503
76	206	2475
77	207	2448
78	207	2422
79	208	2396
80	209	2371
81	209	2347
82	209	2320
83	210	2297
84	211	2274
85	211	2252
86	212	2230
87	213	2209
88	213	2188
89	214	2168
90	215	2148
91	215	2128
92	216	2109
93	216	2090
94	217	2071
95	218	2053
96	218	2035
97	219	2017
98	219	2001
99	220	1984
100	221	1968
101	221	1953
102	222	1938
103	223	1922
104	223	1907
105	224	1892
106	224	1877
107	225	1862
108	226	1848
109	226	1834
110	227	1820
111	227	1807
112	228	1793
113	229	1781
114	229	1768
115	230	1756
116	230	1743
117	231	1730
118	232	1718
119	232	1706
120	233	1695
121	233	1682
122	234	1671
123	235	1660
124	235	1649
125	236	1639
126	236	1627
127	237	1617
128	238	1607
129	238	1597
130	239	1587
131	239	1577
132	240	1567
133	241	1558
134	241	1548
135	242	1539
136	242	1530
137	243	1521
138	244	1512
139	244	1503
140	245	1494
141	245	1485
142	246	1477
143	247	1469
144	247	1461
145	248	1453
